COD_ORGAO_ORIGEM,NUM_LEGISLATURA_APRESEN,NUM_LEGISLATURA_LEI,NOM_PARTIDO_POLITICO,DAT_VETO_TOTAL,NOM_UF,DES_TIPO_PROPOSICAO,DES_COMPLETA,COD_TIPO_NORMA_JURIDICA_ORIGEM,SIG_UF,DAT_FIM_LEGISLATURA_LEI,COD_PROPOSICAO_ORIGEM,DES_ATIVO_TIPO_PROPOSICAO,NOM_ORGAO,DES_APELIDO_ORGAO,DATAPRESENTACAOPROPOSICAO,DES_TIPO_AUTOR,COD_SEXO,IND_ATIVO_ORGAO,COD_TIPO_PARLAMENTAR,DES_TIPO_NORMA_JURIDICA,DES_TIPO_SESSAO_LEGISLATIVA_APRESEN,DATTRANSFPROPOSICAOLEI,DAT_FINAL_RECESSO_LEI,AREAS_TEMATICAS_APRESENTACAO,DES_TIPO_SESSAO_LEGISLATIVA_LEI,DAT_INICIAL_RECESSO_APRESEN,ANO_PROPOSICAO,TEX_REGIAO_GEOGRAFICA_AUTOR,DAT_INICIO_LEGISLATURA_LEI,NUM_SESSAO_LEGISLATIVA_APRESEN,DAT_INICIAL_RECESSO_LEI,DAT_FIM_SESSAO_LEGISLATIVA_APRESEN,SIG_NORMA_JURIDICA,DAT_INICIO_SESSAO_LEGISLATIVA_LEI,DES_TIPO_PARLAMENTAR,NOM_PROPOSICAO,DES_ATIVO_ORGAO,COD_PARTIDO_POLITICO,NOM_CIVIL_PARLAMENTAR,SIG_TIPO_PROPOSICAO,COD_TIPO_SESSAO_LEGISLATIVA_APRESEN,DAT_INICIO_SESSAO_LEGISLATIVA_APRESEN,COD_PARLAMENTAR_ORIGEM,DAT_FIM_SESSAO_LEGISLATIVA_LEI,DES_SITUACAO_PROPOSICAO,COD_TIPO_AUTOR_ORIGEM,NUM_SESSAO_LEGISLATIVA_LEI,DAT_FIM_LEGISLATURA_APRESEN,SIG_PARTIDO_POLITICO,IND_ATIVO_TIPO_PROPOSICAO,DAT_INICIO_LEGISLATURA_APRESEN,NUM_PROPOSICAO,COD_TIPO_SESSAO_LEGISLATIVA_LEI,NOM_PARLAMENTAR,DAT_FINAL_RECESSO_APRESEN
-1,51,-1,PARTIDO DA FRENTE LIBERAL,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,90542,ATIVADO,N/A,N/A,30-10-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,TRIBUTAÇÃO,N/A,02-07-2002,2002,SUDESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 7254/2002,N/A,106,RUBENEUTON OLIVEIRA LIMA,PL,1,15-02-2002,523792,,N/A,TipoParlamentar_10000,-1,31-01-2003,PFL,1,01-02-1999,7254,-1,NEUTON LIMA,01-08-2002
-1,51,-1,PARTIDO TRABALHISTA BRASILEIRO,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,90556,ATIVADO,N/A,N/A,30-10-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"INDÚSTRIA, COMÉRCIO E DEFESA DO CONSUMIDOR (UTILIZADO ATÉ A LEGISLATURA 53)",N/A,02-07-2002,2002,SUDESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 7255/2002,N/A,136,RICARDO NAGIB IZAR,PL,1,15-02-2002,523588,,N/A,TipoParlamentar_10000,-1,31-01-2003,PTB,1,01-02-1999,7255,-1,RICARDO IZAR,01-08-2002
-1,51,-1,PARTIDO PROGRESSISTA BRASILEIRO,,MATO GROSSO DO SUL,PROJETO DE LEI,PROJETO DE LEI,-1,MS,,100013,ATIVADO,N/A,N/A,03-12-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"INDÚSTRIA, COMÉRCIO E DEFESA DO CONSUMIDOR (UTILIZADO ATÉ A LEGISLATURA 53),RECURSOS HÍDRICOS, MINERAIS E POLÍTICA ENERGÉTICA",N/A,02-07-2002,2002,CENTRO-OESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 7413/2002,N/A,116,PEDRO PEDROSSIAN FILHO,PL,1,15-02-2002,521418,,N/A,TipoParlamentar_10000,-1,31-01-2003,PPB,1,01-02-1999,7413,-1,PEDRO PEDROSSIAN,01-08-2002
-1,51,-1,PARTIDO DEMOCRÁTICO TRABALHISTA,,RIO DE JANEIRO,PROJETO DE LEI,PROJETO DE LEI,-1,RJ,,101920,ATIVADO,N/A,N/A,11-12-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"INDÚSTRIA, COMÉRCIO E DEFESA DO CONSUMIDOR (UTILIZADO ATÉ A LEGISLATURA 53)",N/A,02-07-2002,2002,SUDESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 7468/2002,N/A,104,JOÃO CARLOS DE ALMEIDA SAMPAIO,PL,1,15-02-2002,1650,,N/A,TipoParlamentar_10000,-1,31-01-2003,PDT,1,01-02-1999,7468,-1,JOÃO SAMPAIO,01-08-2002
-1,51,-1,PARTIDO PROGRESSISTA BRASILEIRO,,SANTA CATARINA,PROJETO DE LEI,PROJETO DE LEI,-1,SC,,101816,ATIVADO,N/A,N/A,11-12-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,"DIREITOS HUMANOS, MINORIAS E CIDADANIA",N/A,02-07-2002,2002,SUL,,4,,16-12-2002,N/A,,DEPUTADO,PL 7464/2002,N/A,116,ENI JOSÉ VOLTOLINI,PL,1,15-02-2002,2409,,N/A,TipoParlamentar_10000,-1,31-01-2003,PPB,1,01-02-1999,7464,-1,ENI VOLTOLINI,01-08-2002
-1,51,-1,PARTIDO DA FRENTE LIBERAL,,RIO DE JANEIRO,PROJETO DE LEI,PROJETO DE LEI,-1,RJ,,45054,ATIVADO,N/A,N/A,05-03-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,VIAÇÃO E TRANSPORTES,N/A,02-07-2002,2002,SUDESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 6199/2002,N/A,106,JOSÉ CARLOS PIRES COUTINHO,PL,1,15-02-2002,1661,,N/A,TipoParlamentar_10000,-1,31-01-2003,PFL,1,01-02-1999,6199,-1,JOSÉ CARLOS COUTINHO,01-08-2002
-1,51,-1,PARTIDO PROGRESSISTA BRASILEIRO,,SANTA CATARINA,PROJETO DE LEI,PROJETO DE LEI,-1,SC,,101776,ATIVADO,N/A,N/A,11-12-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,DIREITO CIVIL E PROCESSUAL CIVIL,N/A,02-07-2002,2002,SUL,,4,,16-12-2002,N/A,,DEPUTADO,PL 7456/2002,N/A,116,ENI JOSÉ VOLTOLINI,PL,1,15-02-2002,2409,,N/A,TipoParlamentar_10000,-1,31-01-2003,PPB,1,01-02-1999,7456,-1,ENI VOLTOLINI,01-08-2002
-1,51,-1,PARTIDO DOS TRABALHADORES,,PARANÁ,PROJETO DE LEI,PROJETO DE LEI,-1,PR,,52267,ATIVADO,N/A,N/A,16-05-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,N/A,02-07-2002,2002,SUL,,4,,16-12-2002,N/A,,DEPUTADO,PL 6814/2002,N/A,134,FLORISVALDO FIER,PL,1,15-02-2002,522070,,N/A,TipoParlamentar_10000,-1,31-01-2003,PT,1,01-02-1999,6814,-1,DR. ROSINHA,01-08-2002
-1,51,-1,PARTIDO TRABALHISTA BRASILEIRO,,SÃO PAULO,PROJETO DE LEI,PROJETO DE LEI,-1,SP,,44591,ATIVADO,N/A,N/A,26-02-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,DIREITO PENAL E PROCESSUAL PENAL,N/A,02-07-2002,2002,SUDESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 6138/2002,N/A,136,LUIZ ANTONIO FLEURY FILHO,PL,1,15-02-2002,523589,,N/A,TipoParlamentar_10000,-1,31-01-2003,PTB,1,01-02-1999,6138,-1,FLEURY,01-08-2002
-1,51,-1,PARTIDO DA FRENTE LIBERAL,,RIO DE JANEIRO,PROJETO DE LEI,PROJETO DE LEI,-1,RJ,,45057,ATIVADO,N/A,N/A,05-03-2002,DEPUTADO,M,-1,10000,N/A,Ordinária,,,ADMINISTRAÇÃO PÚBLICA,N/A,02-07-2002,2002,SUDESTE,,4,,16-12-2002,N/A,,DEPUTADO,PL 6202/2002,N/A,106,JOSÉ CARLOS PIRES COUTINHO,PL,1,15-02-2002,1661,,N/A,TipoParlamentar_10000,-1,31-01-2003,PFL,1,01-02-1999,6202,-1,JOSÉ CARLOS COUTINHO,01-08-2002
